function_id,raw_name,canonical_name,address,category,status,batch,target_address,target_slot,collapsed_raw_target,source_line_start,source_line_end,source_byte_start,source_byte_end,payload_byte_start,payload_byte_end,output_file,output_payload_offset,raw_signature
function_00045,FUN_7100011190,unidentified_function_7100011190,7100011190,internal,recovered_body,0,,,,4793845,4793850,161602952,161603090,161602946,161603090,src/functions/internal/batch_00/7100000000/1981_functions.inc,229801,"void FUN_7100011190(uint param_1,short *param_2,uint param_3)"
function_00046,FUN_71000111a0,unidentified_function_71000111a0,71000111a0,internal,recovered_body,0,,,,4793854,4793867,161603096,161603365,161603090,161603365,src/functions/internal/batch_00/7100000000/1981_functions.inc,229945,"undefined4 FUN_71000111a0(long param_1,uint param_2)"
function_00047,FUN_71000111d0,unidentified_function_71000111d0,71000111d0,internal,recovered_body,0,,,,4793871,4794035,161603371,161608987,161603365,161608987,src/functions/internal/batch_00/7100000000/1981_functions.inc,230220,"int * FUN_71000111d0(long param_1,uint param_2)"
function_00048,FUN_71000115a0,unidentified_function_71000115a0,71000115a0,internal,recovered_body,0,,,,4794039,4794208,161608993,161615730,161608987,161615730,src/functions/internal/batch_00/7100000000/1981_functions.inc,235842,"uint FUN_71000115a0(uint param_1,long param_2,uint param_3,long param_4,uint *param_5,int *param_6, undefined8 *param_7,int *param_8,undefined8 *param_9,uint param_10,uint param_11, uint param_12,undefined4 param_13,int param_14,uint param_15,uint param_16, uint param_17,uint param_18)"
function_00049,FUN_7100011a40,unidentified_function_7100011a40,7100011a40,internal,recovered_body,0,,,,4794212,4794610,161615736,161634367,161615730,161634367,src/functions/internal/batch_00/7100000000/1981_functions.inc,242585,"int FUN_7100011a40(auto_FUN_7100011a40_param_1 *param_1,uint param_2,long param_3,int param_4)"
function_00050,FUN_7100012480,unidentified_function_7100012480,7100012480,internal,recovered_body,0,,,,4794614,4794640,161634373,161635128,161634367,161635128,src/functions/internal/batch_00/7100000000/1981_functions.inc,261222,"ulong FUN_7100012480(long param_1,long param_2,int param_3)"
function_00051,FUN_7100012530,unidentified_function_7100012530,7100012530,internal,recovered_body,0,,,,4794644,4794670,161635134,161635915,161635128,161635915,src/functions/internal/batch_00/7100000000/1981_functions.inc,261983,"undefined4 FUN_7100012530(undefined4 param_1,long param_2,uint param_3,char *param_4,int param_5)"
function_00052,FUN_7100012620,unidentified_function_7100012620,7100012620,internal,recovered_body,0,,,,4794674,4794719,161635921,161637370,161635915,161637370,src/functions/internal/batch_00/7100000000/1981_functions.inc,262770,"int FUN_7100012620(long param_1,uint param_2,long param_3,uint *param_4,int param_5,int param_6, uint param_7,uint param_8)"
function_00053,FUN_71000127d0,unidentified_function_71000127d0,71000127d0,internal,recovered_body,0,,,,4794723,4794839,161637376,161640939,161637370,161640939,src/functions/internal/batch_00/7100000000/1981_functions.inc,264225,"ulong FUN_71000127d0(int param_1,long param_2,uint param_3,long param_4)"
function_00054,FUN_7100012a00,unidentified_function_7100012a00,7100012a00,internal,recovered_body,0,,,,4794843,4795033,161640945,161647832,161640939,161647832,src/functions/internal/batch_00/7100000000/1981_functions.inc,267794,"int FUN_7100012a00(long param_1,uint param_2,long *param_3,int *param_4,long *param_5,int *param_6, uint *param_7)"
function_00055,FUN_7100012f80,unidentified_function_7100012f80,7100012f80,internal,recovered_body,0,,,,4795037,4795177,161647838,161652727,161647832,161652727,src/functions/internal/batch_00/7100000000/1981_functions.inc,274687,"int FUN_7100012f80(long param_1,uint param_2,long *param_3,int *param_4,int *param_5,uint *param_6)"
function_00056,FUN_7100013370,unidentified_function_7100013370,7100013370,internal,recovered_body,0,,,,4795181,4795190,161652733,161653026,161652727,161653026,src/functions/internal/batch_00/7100000000/1981_functions.inc,279582,undefined4 FUN_7100013370(uint param_1)
function_00057,FUN_71000133a0,unidentified_function_71000133a0,71000133a0,internal,recovered_body,0,,,,4795194,4795203,161653032,161653325,161653026,161653325,src/functions/internal/batch_00/7100000000/1981_functions.inc,279881,undefined4 FUN_71000133a0(uint param_1)
