entity_kind,entity_id,address,raw_symbol,existing_canonical_name,proposed_name,category,confidence,evidence_kind,evidence_address,evidence_function_address,evidence,inference_scope
elf_string,elf_string_209458,710313b125,string_at_710313b125,,mii_face_rendering_string_mii_editor_scene,mii_face_rendering,0.96,elf_printable_string,710313b125,,MiiEditorScene,exact_elf_string_address
elf_string,elf_string_209459,710313b134,string_at_710313b134,,mii_face_rendering_string_editor_mii_preview_min_height,mii_face_rendering,0.96,elf_printable_string,710313b134,,EditorMiiPreviewMinHeight,exact_elf_string_address
elf_string,elf_string_209486,710313b356,string_at_710313b356,,mii_face_rendering_string_mii_parts_nose,mii_face_rendering,0.96,elf_printable_string,710313b356,,MiiPartsNose,exact_elf_string_address
elf_string,elf_string_209492,710313b3c3,string_at_710313b3c3,,mii_face_rendering_string_demo_mii_limit_area_check_type,mii_face_rendering,0.96,elf_printable_string,710313b3c3,,DemoMiiLimitAreaCheckType,exact_elf_string_address
elf_string,elf_string_209509,710313b55c,string_at_710313b55c,,mii_face_rendering_string_game_mii_taste_system_param,mii_face_rendering,0.96,elf_printable_string,710313b55c,,game__MiiTasteSystemParam,exact_elf_string_address
elf_string,elf_string_209511,710313b582,string_at_710313b582,,mii_face_rendering_string_shuffle_mii_order,mii_face_rendering,0.96,elf_printable_string,710313b582,,ShuffleMiiOrder,exact_elf_string_address
elf_string,elf_string_209512,710313b592,string_at_710313b592,,mii_face_rendering_string_mii_anim_base_frame,mii_face_rendering,0.96,elf_printable_string,710313b592,,MiiAnimBaseFrame,exact_elf_string_address
elf_string,elf_string_209513,710313b5a3,string_at_710313b5a3,,mii_face_rendering_string_state_c_second_mii_greeting,mii_face_rendering,0.96,elf_printable_string,710313b5a3,,State::cSecondMiiGreeting,exact_elf_string_address
elf_string,elf_string_209527,710313b6a8,string_at_710313b6a8,,mii_face_rendering_string_chat_mii_normal,mii_face_rendering,0.96,elf_printable_string,710313b6a8,,ChatMiiNormal,exact_elf_string_address
elf_string,elf_string_209529,710313b6c9,string_at_710313b6c9,,mii_face_rendering_string_mii_sav,mii_face_rendering,0.96,elf_printable_string,710313b6c9,,Mii.sav,exact_elf_string_address
elf_string,elf_string_209555,710313b876,string_at_710313b876,,mii_face_rendering_string_face_model_mgr,mii_face_rendering,0.96,elf_printable_string,710313b876,,FaceModelMgr,exact_elf_string_address
elf_string,elf_string_209556,710313b883,string_at_710313b883,,mii_face_rendering_string_mii_face_color_srgb,mii_face_rendering,0.96,elf_printable_string,710313b883,,mii_face_color_srgb,exact_elf_string_address
elf_string,elf_string_209557,710313b897,string_at_710313b897,,mii_face_rendering_string_mii_hair_color_srgb1,mii_face_rendering,0.96,elf_printable_string,710313b897,,mii_hair_color_srgb1,exact_elf_string_address
elf_string,elf_string_209572,710313b982,string_at_710313b982,,mii_face_rendering_string_eyelash_lower_scale,mii_face_rendering,0.96,elf_printable_string,710313b982,,EyelashLowerScale,exact_elf_string_address
